Spalte1.7
I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.
Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, un… https://t.co/ExRBdQnJru
After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States h… https://t.co/MoMNa1MUI3
Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!
Excited to be heading home to see the House pass a GREAT Tax Bill with the middle class getting big TAX CUTS!
I am proud of the Rep. House &amp
Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!
Will be leaving the Philippines tomorrow after many days of constant mtgs &amp
Great day of bilateral meetings at #ASEANSummit on trade, which we are turning around to be great deals for our cou… https://t.co/n7g7Zvo9pl
Thank you! https://t.co/TD0rYcWN8C
We had a wonderful visit to Vietnam, thank you President Tran Dai Quang! Heading to the #ASEANSummit 50th Anniv Gal… https://t.co/s5gIKMqt50
Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo
Why would Kim Jong-un insult me by calling me &quot
Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our… https://t.co/0QnLU03c03
When will all the haters and fools out there realize that having a good relationship with Russia is a good thing, n… https://t.co/tPCd8nSwY3
Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve… https://t.co/eOt8rDcpeY
Will be doing a joint press conference in Hanoi, Vietnam then heading for final destination of trip, the Phillipines.
President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.
“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” 


On this wonderful Veterans Day, I want to express the incredible gratitude of the entire American Nation to our GRE… https://t.co/MhHOaVTAWC
On behalf of an entire nation, Happy 242nd Birthday to the men and women of the United States Marines!

The United States has been reminded time and again in recent years that economic security is not merely RELATED to… https://t.co/62WsIAen7F
The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial co… https://t.co/6hY41gFM5i
Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendsh… https://t.co/2IdSIlE3Ek
In more and more places throughout this region, citizens of SOVEREIGN and INDEPENDENT nations have taken greater co… https://t.co/RoZxYEdh9m
Throughout my travels, I've had the pleasure of sharing the good news from America. I've had the honor of sharing o… https://t.co/eGkJAZaPuU
Just landed in Da Nang, Vietnam to deliver a speech at #APEC2017
I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo, and of course, the G… https://t.co/j2kDjWvnsj
My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a hi… https://t.co/WqDuLr1nyF
I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF
In the coming months and years ahead I look forward to building an even STRONGER relationship between the United St… https://t.co/kHCeQSQDtk
President Xi, thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸… https://t.co/Jbj5TWhCla
Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral Co… https://t.co/cKVtPvEHOB
Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautif… https://t.co/lSC21tvK3w
NoKo has interpreted America's past restraint as weakness. This would be a fatal miscalculation. Do not underestima… https://t.co/3ZqTpo7GrT
On behalf of @FLOTUS Melania and I, THANK YOU for an unforgettable afternoon and evening at the Forbidden City in B… https://t.co/Q9H0MPdIvU
Leaving South Korea now heading to China. Looking very much forward to meeting and being with President Xi!
Together, we dream of a Korea that is free, a peninsula that is safe, and families that are reunited once again! https://t.co/9tsZRCC83j
Anyone who doubts the strength or determination of the U.S. should look to our past....and you will doubt it no lon… https://t.co/n1Dc7xNmcg
The North Korean regime has pursued its nuclear &amp
The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x
Join me LIVE in South Korea🇺🇸🇰🇷


Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget, Republicans won 4 out of 4 House… https://t.co/HODixMtPNw
Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw
Thank you to all Americans who participated in Nat'l Rx Drug Take Back Day. A record amount of drugs collected &amp
Franklin, such a great photo. 


.@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!
....and has been horrible on Virginia economy. Vote @EdWGillespie today!
Ralph Northam will allow crime to be rampant in Virginia. He’s weak on crime, weak on our GREAT VETS, Anti-Second Amendment....
....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!
Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....
Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a
It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷… https://t.co/QJtVR498yK
トランプ大統領による、初の、歴史的な日本訪問は、間違いなく、日米同盟の揺るぎない絆を世界に示すことができました。




....Some of those they are harshly treating have been “milking” their country for years!
I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing....
Getting ready to leave for South Korea and meetings with President Moon, a fine gentleman. We will figure it all out!
My visit to Japan and friendship with PM Abe will yield many benefits, for our great Country. Massive military &amp
The state of Virginia economy, under Democrat rule, has been terrible. If you vote Ed Gillespie tomorrow, it will come roaring back!
#USA🇺🇸 #Japan🇯🇵 https://t.co/EvxFqAVnFS
...Americans do what we do best: we pull together. We join hands. We lock arms and through the tears and the sadnes… https://t.co/CTtTeWjVHX
May God be w/ the people of Sutherland Springs, Texas. The FBI &amp
Heading into the 12 days with great negotiating strength because of our tremendous economy. https://t.co/4HnXkR3EhW
It was a true honor to be at Yokota Air Base with our GREAT @USForcesJapan! https://t.co/KEXnIkkQks
Playing golf with Prime Minister Abe and Hideki Matsuyama, two wonderful people! https://t.co/vYLULe0o2K
Just gave a speech to the great men and women at Yokota Air Base in Tokyo, Japan. Leaving to see Prime Minister Abe. https://t.co/6LRAgojvDB
I am landing shortly. Can’t wait to be with our GREAT MILITARY. See you soon! https://t.co/AVLrrOxmm4
Would very much appreciate Saudi Arabia doing their IPO of Aramco with the New York Stock Exchange. Important to the United States!
Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill
Touched by the warm hospitality of Prime Minister Abe and the Japanese people. ありがとうございます [Thank you]! Until next t… https://t.co/BHjshnv9AN
Thank you to our GREAT Military/Veterans and @PacificCommand.




Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pea… https://t.co/Yr6OZitxGR
Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!
The decision on Sergeant Bergdahl is a complete and total disgrace to our Country and to our Military.
JOBS, JOBS, JOBS! https://t.co/twUNktGbnb
The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!
Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp
I always felt I would be running and winning against Bernie Sanders, not Crooked H, without cheating, I was right.
Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!
...Based on that, the Military has hit ISIS &quot
ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was &quot
Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp
The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC &amp
....People are angry.  At some point the Justice Department, and the FBI, must do what is right and proper. The American public deserves it!
...New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus...
Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp
My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and having an impact.
I will be interviewed by @IngrahamAngle on @FoxNews at 10:00. Enjoy!
The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!
....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?
Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....
Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!
Today, it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the… https://t.co/32kLFYbbuq
Broadcom's move to America=$20 BILLION of annual rev into U.S.A., $3+ BILLION/yr. in research/engineering &amp
Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapo… https://t.co/iSUzEbrn0c
Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE… https://t.co/nxEDGfXlV9
I am calling on Congress to TERMINATE the diversity visa lottery program that presents significant vulnerabilities… https://t.co/GcHKCxTNyF
Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi
...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!
Would love to send the NYC terrorist to Guantanamo but statistically that process takes much longer than going through the Federal system...
